id_0,id,atm_group,address,address_rus,lat,long,target,federal_district,region_with_type,area_with_type,city_with_type,city_area,city_district_with_type,capital_marker,settlement_with_type,street_with_type,house,nearest_metro_distance,metro_station_name_1,metro_line_name_1,metro_distance_1,metro_station_name_2,metro_line_name_2,metro_distance_2,metro_station_name_3,metro_line_name_3,metro_distance_3,locality_area,locality_population
2606,5.0,496.5,BUDENNOGO 7A              ELISTA      ,"улица С.М. Будённого, 7А, Элиста, Республика Калмыкия, Россия",46.318213,44.260407,0.0199583047962615,Южный,Респ Калмыкия,,г Элиста,,,2.0,,ул им Буденного С.М.,7А,,,,,,,,,,,53.37692,103122.0
2607,6.0,496.5,"HO CHI MIHN AVE, 19       ULYANOVSK   ","г Ульяновск, пр-кт Хо Ши Мина, д 19",54.2703982,48.3006323,-0.0891106194386873,Приволжский,Ульяновская обл,,г Ульяновск,,р-н Засвияжский,2.0,,пр-кт Хо Ши Мина,19,,,,,,,,,,,326.723424,627705.0
5126,7.0,496.5,SHELESTA 116A             KHABAROVSK  ,"улица Шелеста, 116А, Хабаровск, Россия, 680042",48.520503,135.052576,-0.0487692059789681,Дальневосточный,Хабаровский край,,г Хабаровск,,Кировский р-н,2.0,,ул Шелеста,116А,,,,,,,,,,,389.085968,616372.0
2608,8.0,496.5,ORDZHONIKIDZE 52          YAKUTSK     ,"улица Орджоникидзе, 52, Якутск, Республика Саха (Якутия), Россия, 677027",62.025583,129.721362,-0.0415451611745217,Дальневосточный,Респ Саха /Якутия/,,г Якутск,,,2.0,,ул Орджоникидзе,52,,,,,,,,,,,144.141162,322987.0
2609,10.0,496.5,"VETERANOV AVE, 3          KRASNOKAMENS","проспект Ветеранов, 11, Краснокаменск, Забайкальский край, Россия",50.08905,118.02731,0.025479412289185,Дальневосточный,Забайкальский край,Краснокаменский р-н,г Краснокаменск,,,1.0,,пр-кт Ветеранов,11,,,,,,,,,,,26.359358,51387.0
3874,12.0,496.5,MIRA 6                    KOSTROMA    ,"проспект Мира, 6, Кострома, Россия, 156000",57.769435,40.930802,-0.0899085646576374,Центральный,Костромская обл,,г Кострома,,,2.0,,пр-кт Мира,6,,,,,,,,,,,144.433098,276929.0
112,13.0,496.5,KOMMUNARSKIY 18           BIYSK       ,"Коммунарский переулок, 18, Бийск, Алтайский край, Россия, 659300",52.540672,85.22168,-0.05035007441799,Сибирский,Алтайский край,,г Бийск,,,0.0,,Коммунарский пер,18,,,,,,,,,,,221.290498,199464.0
2610,14.0,496.5,K.LIBKNEKHTA 13           ZHUKOVKA    ,"улица Карла Либкнехта, 3, Жуковка, Брянская область, Россия, 242702",53.530621,33.720726,-0.0919098487755485,Центральный,Брянская обл,Жуковский р-н,г Жуковка,,,1.0,,ул Карла Либкнехта,3,,,,,,,,,,,12.361923,16448.0
5127,15.0,496.5,LENINA 185                DYATKOVO    ,"улица Ленина, 185, Дятьково, Брянская область, Россия, 242603",53.602093,34.331724,-0.0522853877145313,Центральный,Брянская обл,Дятьковский р-н,г Дятьково,,,1.0,,ул Ленина,185,,,,,,,,,,,24.554571,26161.0
1370,16.0,496.5,"III INTERNATSIONALA,10    PETUSHKI    ","улица 3-го Интернационала, 12, Петушки, Владимирская область, Россия",55.936661,39.456244,-0.0075570235493654,Центральный,Владимирская обл,Петушинский р-н,г Петушки,,,1.0,,ул 3 Интернационала,12,,,,,,,,,,,12.897818,12536.0
113,18.0,496.5,VERKHNAYA DUBROVA 26ZH    VLADIMIR    ,"улица Верхняя Дуброва, 26Ж, Владимир, Россия, 600022",56.109039,40.344112,-0.0904744912209494,Центральный,Владимирская обл,,г Владимир,,,2.0,,ул Верхняя Дуброва,26Ж,,,,,,,,,,,0.0,356937.0
1371,21.0,496.5,SOVETSKAYA 126            EGORIEVSK   ,"Советская улица, 126, Егорьевск, Московская область, Россия, 140301",55.380084,39.039462,0.137124795634558,Центральный,Московская обл,,г Егорьевск,,,0.0,,ул Советская,126,,,,,,,,,,,28.840693,72763.0
114,23.0,496.5,SOVETSKAYA 7              TOSNO       ,"Советская улица, 7, Тосно, Тосненское городское поселение, Ленинградская область, Россия, 187000",59.542333,30.880522,-0.0372481385473647,Северо-Западный,Ленинградская обл,Тосненский р-н,г Тосно,,,1.0,,ул Советская,7,,,,,,,,,,,16.831684,36296.0
115,24.0,496.5,PIONERSKAYA 10A           KHABAROVSK  ,"Пионерская улица, 10А, Хабаровск, Россия",48.458826,135.089668,0.0093968232600801,Дальневосточный,Хабаровский край,,г Хабаровск,,,2.0,,ул Пионерская,10а,,,,,,,,,,,389.085968,616372.0
