,id,atm_group,address,address_rus,lat,long,target,area_fias_id,area_with_type,city_with_type,city_fias_id,federal_district,capital_marker,fias_id,fias_level,region_with_type,region_fias_id,settlement_with_type,settlement_fias_id,street_with_type,street_fias_id,city_lat,city_lon,region_lat,region_lon,street_lat,street_lon,city_area,city_district_fias_id,city_district_with_type,area_lat,area_lon,settlement_lat,settlement_lon,metro_station_name_1,metro_line_name_1,metro_distance_1,metro_station_name_2,metro_line_name_2,metro_distance_2,metro_station_name_3,metro_line_name_3,metro_distance_3,street,house_fias_id,house,metro
2606,5,496.5,BUDENNOGO 7A              ELISTA      ,"улица С.М. Будённого, 7А, Элиста, Республика Калмыкия, Россия",46.318213,44.260407,0.0199583047962615,,,г Элиста,d5bd18b9-22c1-48e2-9b4a-3b7a4c89a3cb,Южный,2,cc2b04c8-b15f-41c1-a9a2-e57ccd4c293b,8,Респ Калмыкия,491cde9d-9d76-4591-ab46-ea93c079e686,,,ул им Буденного С.М.,2ac69835-12c9-44c2-9920-2e520373774c,46.308309,44.270181,,,46.318343,44.257506,,,,,,,,,,,,,,,,,им Буденного С.М.,cc2b04c8-b15f-41c1-a9a2-e57ccd4c293b,7А,
2607,6,496.5,"HO CHI MIHN AVE, 19       ULYANOVSK   ","г Ульяновск, пр-кт Хо Ши Мина, д 19",54.2703982,48.3006323,-0.0891106194386873,,,г Ульяновск,bebfd75d-a0da-4bf9-8307-2e2c85eac463,Приволжский,2,5780b18d-d67c-4300-b932-6104b2346faf,8,Ульяновская обл,fee76045-fe22-43a4-ad58-ad99e903bd58,,,пр-кт Хо Ши Мина,b1196b7d-a8b4-4849-8cee-5eab3a576a8a,,,,,,,,,р-н Засвияжский,,,,,,,,,,,,,,Хо Ши Мина,5780b18d-d67c-4300-b932-6104b2346faf,19,
5126,7,496.5,SHELESTA 116A             KHABAROVSK  ,"улица Шелеста, 116А, Хабаровск, Россия, 680042",48.520503,135.052576,-0.0487692059789681,,,г Хабаровск,a4859da8-9977-4b62-8436-4e1b98c5d13f,Дальневосточный,2,933fb2ef-5e12-4dcb-a310-7e1e38f519d7,8,Хабаровский край,7d468b39-1afa-41ec-8c4f-97a8603cb3d4,,,ул Шелеста,d239358d-9a62-4d1a-8334-28a0a488dc0d,48.4648055,135.0598606,,,48.515663,135.061901,,,Кировский р-н,,,,,,,,,,,,,,Шелеста,933fb2ef-5e12-4dcb-a310-7e1e38f519d7,116А,
2608,8,496.5,ORDZHONIKIDZE 52          YAKUTSK     ,"улица Орджоникидзе, 52, Якутск, Республика Саха (Якутия), Россия, 677027",62.025583,129.721362,-0.0415451611745217,,,г Якутск,884c84a2-0141-4652-962d-8a92989b88f7,Дальневосточный,2,113d873b-ead4-42b2-acf8-d2d3ac427b5e,8,Респ Саха /Якутия/,c225d3db-1db6-4063-ace0-b3fe9ea3805f,,,ул Орджоникидзе,389e2996-84e2-45a1-981d-317168f0ab1a,62.028098,129.732555,,,62.02966,129.731513,,,,,,,,,,,,,,,,,Орджоникидзе,113d873b-ead4-42b2-acf8-d2d3ac427b5e,52,
2609,10,496.5,"VETERANOV AVE, 3          KRASNOKAMENS","проспект Ветеранов, 11, Краснокаменск, Забайкальский край, Россия",50.08905,118.02731,0.025479412289185,539e012d-a5c0-4a81-83b9-cf87ea0f7697,Краснокаменский р-н,г Краснокаменск,3c9d5e9e-2922-4e9e-9e49-dbe6faf01fb2,Дальневосточный,1,2e866034-f3cf-4015-8226-dfde4456bc1b,8,Забайкальский край,b6ba5716-eb48-401b-8443-b197c9578734,,,пр-кт Ветеранов,5865e73b-e150-49fa-96b9-fe40e957f2e2,50.092934,118.032331,,,50.088143,118.026663,,,,,,,,,,,,,,,,,Ветеранов,2e866034-f3cf-4015-8226-dfde4456bc1b,11,
3874,12,496.5,MIRA 6                    KOSTROMA    ,"проспект Мира, 6, Кострома, Россия, 156000",57.769435,40.930802,-0.0899085646576374,,,г Кострома,14c73394-b886-40a9-9e5c-547cfd4d6aad,Центральный,2,7e15fc78-4b6a-4e4b-bc55-68a37cb2e91a,8,Костромская обл,15784a67-8cea-425b-834a-6afe0e3ed61c,,,пр-кт Мира,526445bd-481f-4a26-9684-b1c19eb12558,57.768,40.927,,,57.77877,40.950412,,,,,,,,,,,,,,,,,Мира,7e15fc78-4b6a-4e4b-bc55-68a37cb2e91a,6,
112,13,496.5,KOMMUNARSKIY 18           BIYSK       ,"Коммунарский переулок, 18, Бийск, Алтайский край, Россия, 659300",52.540672,85.22168,-0.05035007441799,,,г Бийск,52f876f6-cb1d-4f23-a22f-b692609fc1e0,Сибирский,0,025b20d7-5608-4a69-83ca-25f7cbb87c09,8,Алтайский край,8276c6a1-1a86-4f0d-8920-aba34d4cc34a,,,Коммунарский пер,ab9fb421-74fa-41d9-952d-4bf72c9304b7,52.539308,85.213829,,,52.539829,85.221725,,,,,,,,,,,,,,,,,Коммунарский,025b20d7-5608-4a69-83ca-25f7cbb87c09,18,
2610,14,496.5,K.LIBKNEKHTA 13           ZHUKOVKA    ,"улица Карла Либкнехта, 3, Жуковка, Брянская область, Россия, 242702",53.530621,33.720726,-0.0919098487755485,10bf74ae-b7bf-4a30-983d-1907ac65078d,Жуковский р-н,г Жуковка,bd51e883-748a-4c55-ac0a-eee31be1433e,Центральный,1,069e0573-4376-4a27-bcc5-0f57861176ea,8,Брянская обл,f5807226-8be0-4ea8-91fc-39d053aec1e2,,,ул Карла Либкнехта,bf69ea2d-2ea7-423f-9641-24b0232571a7,53.5340464,33.7302597,,,53.530841,33.720887,,,,,,,,,,,,,,,,,Карла Либкнехта,069e0573-4376-4a27-bcc5-0f57861176ea,3,
5127,15,496.5,LENINA 185                DYATKOVO    ,"улица Ленина, 185, Дятьково, Брянская область, Россия, 242603",53.602093,34.331724,-0.0522853877145313,28a2e2e0-89d4-462c-96eb-a549d88f21c7,Дятьковский р-н,г Дятьково,fd37b6f0-2406-41ca-86bc-57dd58fd71f4,Центральный,1,1e64131c-c9da-45a0-8fd4-759df2215b7a,8,Брянская обл,f5807226-8be0-4ea8-91fc-39d053aec1e2,,,ул Ленина,f3ef859a-c0ee-451f-a8bb-5e295f450f21,53.595764,34.3551808,,,53.596461,34.33821,,,,,,,,,,,,,,,,,Ленина,1e64131c-c9da-45a0-8fd4-759df2215b7a,185,
1370,16,496.5,"III INTERNATSIONALA,10    PETUSHKI    ","улица 3-го Интернационала, 12, Петушки, Владимирская область, Россия",55.936661,39.456244,-0.0075570235493654,4265d25d-8f14-4f0a-9c1f-9ad765c6c918,Петушинский р-н,г Петушки,b7ba6bfc-4b0c-4b05-88bd-267d50b36850,Центральный,1,c7999f4a-be21-4f7a-b305-9a26b5416db5,8,Владимирская обл,b8837188-39ee-4ff9-bc91-fcc9ed451bb3,,,ул 3 Интернационала,86aea542-3a13-4a05-aca0-630a0576e40f,55.9298111,39.450857,,,55.937835,39.46688,,,,,,,,,,,,,,,,,3 Интернационала,c7999f4a-be21-4f7a-b305-9a26b5416db5,12,
113,18,496.5,VERKHNAYA DUBROVA 26ZH    VLADIMIR    ,"улица Верхняя Дуброва, 26Ж, Владимир, Россия, 600022",56.109039,40.344112,-0.0904744912209494,,,г Владимир,f66a00e6-179e-4de9-8ecb-78b0277c9f10,Центральный,2,515cf459-9a9e-4ecb-b082-de0a03f8ec5a,8,Владимирская обл,b8837188-39ee-4ff9-bc91-fcc9ed451bb3,,,ул Верхняя Дуброва,2b3d01ee-da77-48b9-9e27-cd99d267fc3d,56.128101,40.40834,,,56.107674,40.345432,,,,,,,,,,,,,,,,,Верхняя Дуброва,515cf459-9a9e-4ecb-b082-de0a03f8ec5a,26Ж,
1371,21,496.5,SOVETSKAYA 126            EGORIEVSK   ,"Советская улица, 126, Егорьевск, Московская область, Россия, 140301",55.380084,39.039462,0.137124795634558,,,г Егорьевск,17a3426e-add6-4b2e-b4b1-6f36da02b6ab,Центральный,0,e1c8ecea-12f5-4df0-9ee6-976e0567ad7d,8,Московская обл,29251dcf-00a1-4e34-98d4-5c47484a36d4,,,ул Советская,45f886d5-6855-4e2a-a3d6-336e04bc0c65,55.383055,39.035842,,,55.384257,39.033964,,,,,,,,,,,,,,,,,Советская,e1c8ecea-12f5-4df0-9ee6-976e0567ad7d,126,
114,23,496.5,SOVETSKAYA 7              TOSNO       ,"Советская улица, 7, Тосно, Тосненское городское поселение, Ленинградская область, Россия, 187000",59.542333,30.880522,-0.0372481385473647,003fc437-dd9c-4c36-b3e3-adab06e5d195,Тосненский р-н,г Тосно,165119d1-6555-4473-8b90-46ec517b4076,Северо-Западный,1,57959c69-116f-4558-b655-302ebdca6f27,8,Ленинградская обл,6d1ebb35-70c6-4129-bd55-da3969658f5d,,,ул Советская,c8f968b0-3ee4-415b-bdaa-af5fbc9e442e,59.540664,30.877719,,,59.53878,30.873722,,,,,,,,,,,,,,,,,Советская,57959c69-116f-4558-b655-302ebdca6f27,7,
115,24,496.5,PIONERSKAYA 10A           KHABAROVSK  ,"Пионерская улица, 10А, Хабаровск, Россия",48.458826,135.089668,0.0093968232600801,,,г Хабаровск,a4859da8-9977-4b62-8436-4e1b98c5d13f,Дальневосточный,2,06d8aa79-a45f-4a93-a82f-8e965aa8b5ec,8,Хабаровский край,7d468b39-1afa-41ec-8c4f-97a8603cb3d4,,,ул Пионерская,494ee9db-a7a8-4337-8f14-1beb75a04d59,48.4648055,135.0598606,,,48.462793,135.083083,,,,,,,,,,,,,,,,,Пионерская,06d8aa79-a45f-4a93-a82f-8e965aa8b5ec,10а,
1372,25,496.5,KIROVA 44                 UZHUR       ,"улица Кирова, 44, Ужур, Красноярский край, Россия",55.319059,89.839919,-0.105946480714253,0fc93756-86fc-48d2-89e3-e81b44dd7e8e,Ужурский р-н,г Ужур,2730ee56-f5f7-472d-9e58-04c0b692bb8d,Сибирский,1,948d3fac-4580-48b9-8a27-a5cc8fc1f2b1,8,Красноярский край,db9c4f8b-b706-40e2-b2b4-d31b98dcd3d1,,,ул Кирова,ac4f6b87-b81d-4f8f-832e-4d33a7a3c202,55.314146,89.833352,,,55.318962,89.840547,,,,,,,,,,,,,,,,,Кирова,948d3fac-4580-48b9-8a27-a5cc8fc1f2b1,44,
